,text,category
0,"RuPaul abstract RuPaul, nom artístic de RuPaul Andre Charles (San Diego, Califòrnia, 17 de novembre de 1960) és un actor, drag queen, model, músic i artista estatunidenc que va fer se famós a principis de la dècada del 1990 en sortir a diversos programes televisius, pel·lícules i àlbums musicals, especialment gràcies a l'èxit de la seva cançó ""Supermodel (You Better Work)"", de 1992. Ha aparegut en diverses sèries de televisió, i ha presentat els programes The RuPaul Show (1996), RuPaul's Drag Race (2009 present) i RuPaul's Drag U (2010 2012).",Drag Queen
1,Zvi Hirsch Kalischer abstract تسفي هيرش كاليشر (24 مارس 1795 – 16 أكتوبر 1874) كان حاخام ألماني أرثوذكسي عبر عن وجهات نظر، من منظور ديني، لصالح استيطان اليهود في أرض فلسطين، فقد رأى ان الهجرة اليهودية والاستيطان بفلسطين تأدية لفريضة دينية على اليهود القيام بها، والذي يسبق تيودور هرتزل والحركة الصهيونية. ولد كاليشر بمدينة لشنو أو ليسا حينها في مقاطعة بوزنانيا البروسية (اليوم بولندا).,Rabbi
2,Josy Eisenberg sameAs 114177082,Rabbi
3,Theodore Friedman subject Category:Israeli columnists,Rabbi
4,Josy Eisenberg comment Francis R. Nicosia är professor i historia vid University of Vermont. År 2008 hedrades han med titeln Raul Hilberg Distinguished Professorship of Holocaust Studies.,Rabbi
5,Simon Naschér type Species,Rabbi
6,Samuel Adler (rabbi) deathPlace New York City,Rabbi
7,Trixie Mattel wikiPageWikiLink Romy and Michele's High School Reunion,Drag Queen
8,RuPaul type NaturalPerson,Drag Queen
9,Josy Eisenberg sameAs 1152864018004820371,Rabbi
10,Erickatoure Aviance wikiPageWikiLink Scholarship,Drag Queen
11,Shmuley Boteach wikiPageUsesTemplate Template:S aft,Rabbi
12,Marshall Meyer wikiPageWikiLink Category:American expatriates in Argentina,Rabbi
13,"Josy Eisenberg comment Lee Ze ha oder auch Lee Je ha (* 20. April 1937 in Miryang, Kyŏngsangnam do) ist ein südkoreanischer Schriftsteller, Lyriker und Maler.",Rabbi
14,Darienne Lake wikiPageWikiLink Category:Living people,Drag Queen
15,Josy Eisenberg sameAs Q109704719,Rabbi
16,Joseph Telushkin sameAs יוסף טלושקין,Rabbi
17,Divina de Campo subject Category:20th century LGBT people,Drag Queen
18,Josy Eisenberg sameAs 288284189,Rabbi
19,Nelson Glueck type Organism100004475,Rabbi
20,Josy Eisenberg sameAs 73985439,Rabbi
21,Henry Barnston wikiPageWikiLink Category:1868 births,Rabbi
22,Josy Eisenberg sameAs 95127332,Rabbi
23,Josy Eisenberg sameAs 10267642,Rabbi
24,Josy Eisenberg sameAs 1154868435,Rabbi
25,BenDeLaCreme wasDerivedFrom BenDeLaCreme?oldid=1123972167&ns=0,Drag Queen
26,Adin Steinsaltz wikiPageWikiLink Spanish Civil War,Rabbi
27,Elektra Fence subject Category:English drag queens,Drag Queen
28,Alyssa Edwards type Person100007846,Drag Queen
29,Baruch Korff type CausalAgent100007347,Rabbi
30,"Josy Eisenberg comment Fatih Akın (IPA: [ˈfatih ˈakɯn]) (Amburgo, 25 agosto 1973) è un regista, sceneggiatore, produttore cinematografico e attore tedesco. Nel 2004 il quarto film di Fatih Akin, La sposa turca (Gegen die Wand), con Birol Ünel e Sibel Kekilli, nei panni dei due protagonisti, viene premiato come miglior film dal Festival di Berlino e dall'European Film Awards.",Rabbi
31,Fred Neulander type LivingThing100004258,Rabbi
32,Silky Nutmeg Ganache wikiPageID 59759100,Drag Queen
33,Scarlett BoBo subject Category:Musicians from Toronto,Drag Queen
34,Tina Burner wikiPageWikiLink RuPaul,Drag Queen
35,Antonio Pantojas type Q19088,Drag Queen
36,Jonathan Hausman type Species,Rabbi
37,Josy Eisenberg sameAs 138152365,Rabbi
38,Yvie Oddly wikiPageWikiLink Vanessa Vanjie Mateo,Drag Queen
39,Nehorai Garmon subject Category:Hebrew language poets,Rabbi
40,Gloria Groove wikiPageWikiLink Reggaeton,Drag Queen
41,Josy Eisenberg type NaturalPerson,Rabbi
42,RuPaul wikiPageWikiLink Category:RuPaul's Drag Race,Drag Queen
43,Trixie Mattel wikiPageUsesTemplate Template:Use mdy dates,Drag Queen
44,Trixie Mattel subject Category:RuPaul's Drag Race contestants,Drag Queen
45,Josy Eisenberg sameAs c98e4154 d48d 4537 9b42 0bb0e51b2774,Rabbi
46,Baruch Korff wikiPageWikiLink Category:American activists,Rabbi
47,Scarlett BoBo wikiPageWikiLink Life in a Year,Drag Queen
48,Moshe Feinstein type Intellectual109621545,Rabbi
49,"Josy Eisenberg comment Jan Tinbergen (ur. 12 kwietnia 1903 w Hadze, zm. 9 czerwca 1994 tamże) – holenderski ekonomista i ekonometryk.",Rabbi
50,Menasseh Ben Israel wikiPageWikiLink Category:Portuguese emigrants to the Dutch Republic,Rabbi
51,Eureka O'Hara birthName David Huggard,Drag Queen
